"Source Name"	"Characteristics[organism]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"
""	"Hen Egg White Lysosome"	""	""	"sample collection"	"HEWL"
""	"Hen Egg White Lysosome 13_C"	""	""	"sample collection"	"13_C HEWL"
""	"Hen Egg White Lysosome 15_N"	""	""	"sample collection"	"15_N HEWL"
""	"Hen Egg White Lysosome 1_H^N"	""	""	"sample collection"	"1_H^N HEWL"
""	"Hen Egg White Lysosome 1_H^&alpha;"	""	""	"sample collection"	"1_H^&alpha; HEWL"
""	"Hen Egg White Lysosome H side chain"	""	""	"sample collection"	"H side chain HEWL"
""	""	""	""	"sample collection"	""
""	""	""	""	"sample collection"	""
""	""	""	""	"sample collection"	""
""	""	""	""	"sample collection"	""
""	""	""	""	"sample collection"	""
""	""	""	""	"sample collection"	""
""	""	""	""	"sample collection"	""
""	""	""	""	"sample collection"	""
""	""	""	""	"sample collection"	""
""	""	""	""	"sample collection"	""
""	""	""	""	"sample collection"	""
""	""	""	""	"sample collection"	""
""	""	""	""	"sample collection"	""
""	""	""	""	"sample collection"	""
""	""	""	""	"sample collection"	""
""	""	""	""	"sample collection"	""
""	""	""	""	"sample collection"	""
""	""	""	""	"sample collection"	""
""	""	""	""	"sample collection"	""
""	""	""	""	"sample collection"	""
""	""	""	""	"sample collection"	""
""	""	""	""	"sample collection"	""
""	""	""	""	"sample collection"	""
""	""	""	""	"sample collection"	""
""	""	""	""	"sample collection"	""
""	""	""	""	"sample collection"	""
""	""	""	""	"sample collection"	""
""	""	""	""	"sample collection"	""
""	""	""	""	"sample collection"	""
""	""	""	""	"sample collection"	""
""	""	""	""	"sample collection"	""
""	""	""	""	"sample collection"	""
""	""	""	""	"sample collection"	""
""	""	""	""	"sample collection"	""
""	""	""	""	"sample collection"	""
""	""	""	""	"sample collection"	""
""	""	""	""	"sample collection"	""
""	""	""	""	"sample collection"	""
""	""	""	""	"sample collection"	""
""	""	""	""	"sample collection"	""
""	""	""	""	"sample collection"	""
""	""	""	""	"sample collection"	""
""	""	""	""	"sample collection"	""
""	""	""	""	"sample collection"	""
